SourceUserID,ReplyUserID
7212,7212
2512,4097
6602,12044
6602,6602
6149,5631
7965,7965
7832,7832
5204,2785
5079,12401
2273,9733
2273,4070
8979,8979
4069,4069
6988,6988
12041,12041
9798,9798
8960,2704
3213,1032
1813,6811
12204,4935
10671,10671
3567,5484
2971,4900
2971,2182
2971,9555
2971,7008
2971,7604
2971,1569
2971,6217
2971,10548
2971,8078
2971,1486
2971,6943
2971,3110
2971,5393
2971,3052
2971,10625
3774,3774
7508,7508
7508,7508
2519,2519
6305,3529
9661,10827
9661,11222
11467,5648
321,9671
5502,11491
5935,5935
200,4645
4822,9576
8839,8839
4526,2959
10355,2692
10082,3372
10997,2520
10997,10997
12386,8855
9748,1630
12282,2121
12282,3811
6478,6478
6828,8650
4192,7201
8970,5556
8970,9037
3666,3666
8311,135
419,419
4625,6159
9689,11591
1242,7449
9232,11113
1103,2760
10507,9361
8885,3425
4536,816
6056,4090
4314,6779
4314,4973
8545,5352
1831,3821
1831,6217
1831,2894
1831,2100
1831,11643
1831,8446
1831,3627
1831,5800
1831,9018
8553,9121
3452,9544
744,744
5290,1184
569,8063
11744,10983
2420,8721
1318,3524
7446,9917
7446,7446
9891,4468
2859,7015
11183,3843
10433,9261
10414,8096
5916,5916
6853,10796
7931,7935
3646,11907
11787,9433
11601,11601
9872,7335
2266,2100
2266,6978
2266,5927
10707,10574
10707,10574
10707,762
8878,8878
2755,2179
2755,659
2755,9810
2755,5518
2755,8676
2755,4003
2755,10168
2755,1808
2755,9745
2755,4985
10159,3665
4890,6953
8229,5520
5765,9803
4628,5648
7568,7568
7343,2805
8757,11900
3788,3054
5765,4914
2656,6770
10773,443
10773,6301
10773,5131
10773,1905
10773,8818
10773,1614
10773,8355
10773,4253
10773,2614
7130,10471
10679,5647
4137,11521
4137,11521
4137,11521
6628,2100
5429,8842
8803,5242
10681,6103
7269,7874
2259,2259
3888,3888
10296,10296
10497,4338
2017,5452
4899,196
3007,4354
3918,12327
11658,11675
11658,9267
11658,3511
11658,5273
11658,11484
2761,2064
9909,1925
9912,6157
11189,6209
8496,11644
2755,1808
2755,10168
2755,5518
2755,4003
2755,9812
2755,1447
2755,9810
2755,8676
2755,6536
2755,4985
2755,659
4078,2648
4078,2648
9570,9570
4157,4157
3033,5415
4681,9376
7651,1833
12327,3918
2594,241
9104,4313
1407,1407
1407,7486
2265,2265
12068,12068
12030,12030
9303,9303
2631,49
2631,513
2631,6548
2631,5668
664,10274
11941,7060
736,736
5887,4813
5021,8370
6149,5631
6067,8789
5971,10630
2548,2246
10025,8140
4384,5396
2272,1421
11658,8372
11658,4508
10558,4117
11888,11888
7710,7856
6134,7138
6948,6948
625,6044
625,1077
629,896
3382,3892
889,7439
10389,11322
809,1165
7006,729
7269,1980
7269,10389
7269,4347
7269,1130
2426,8722
11072,7584
5093,5093
7001,8811
1755,7172
10364,3843
10364,6217
10364,827
10626,2938
10626,10626
10626,3984
10626,3984
10626,8747
11862,7959
9661,4399
8790,8234
7206,7206
7762,10014
7762,11642
4440,9430
1389,1389
4869,4962
4593,5925
4459,4459
3750,3750
11457,5318
8150,2919
12227,12180
12227,12227
9860,8097
6969,6969
5112,5112
5191,2087
6238,11419
6888,8584
12227,4810
12227,4867
12227,7705
12227,2510
12227,2389
12227,7393
9798,9798
1154,7637
1720,7972
5398,346
2248,3402
9032,9032
5832,8535
9507,3474
3599,5148
3599,5148
3599,5148
4192,4192
10090,10090
8450,8450
10559,12330
10559,11314
10559,10548
4570,5818
4570,6269
4570,11186
4570,6673
2971,11174
2971,899
2971,9246
2971,6120
2971,1422
2971,5984
2971,6217
2971,3086
2971,3169
2971,8135
2971,10625
2971,11189
2971,8337
2971,711
2971,5020
2971,11155
2971,5205
2971,545
2971,10425
2971,3215
2971,10067
2971,7224
2971,10227
2971,3049
2971,7811
2971,450
2971,6681
2971,5154
2971,8248
2971,75
2971,3188
2971,7036
2971,7759
2971,7036
2971,813
2971,450
2971,7919
168,3936
168,3936
168,3936
2997,18
10630,5971
10584,10584
6843,6035
6843,6035
1637,6357
4318,2346
4999,10407
12030,12030
11459,11459
3732,11159
3510,10308
3510,4033
10026,12335
3145,8961
6519,8242
7193,11257
2155,5751
2155,5751
2776,5364
3638,8577
5419,1795
5378,129
6565,11076
4650,11120
10584,10584
12152,10658
12152,11198
7690,7690
8701,9037
9631,6674
11223,1381
10,10
5366,9630
5366,3178
5366,3178
5366,3178
5366,7239
5366,11274
5366,11497
5366,11059
9161,9161
4224,7384
4157,4157
10212,1381
10237,10237
556,5787
1471,4935
2425,11198
6362,9104
12396,4181
5291,1149
2236,11340
11884,11884
11884,1724
4321,2630
2098,7268
2077,187
2266,1715
3883,2176
10695,5191
2461,2100
1249,8995
9538,9538
1584,1536
11361,11361
7468,10020
1577,2728
8270,3760
8270,6634
4051,8733
1867,179
6427,513
11517,2739
11517,2739
7832,7832
597,8326
8366,6542
3461,9753
2450,4559
117,4138
10546,1515
4933,4933
6476,1663
3582,7500
3582,8339
3582,4244
6808,3870
9877,938
4834,4245
4081,10304
6911,6400
11678,4621
10283,10283
11439,6063
11439,5918
11439,10882
11439,7893
11439,7748
11439,6748
11439,5178
11439,3550
4818,3900
2466,2466
5555,8780
5555,7338
8878,8878
8878,8878
8878,8878
1407,6921
1407,6848
2051,10263
6331,10609
10501,10501
8790,2100
12152,1291
2659,3724
2659,4257
2659,6217
2659,3732
10235,9518
10235,10235
10626,6928
7448,11063
2385,6109
4220,7344
4250,8722
4250,8722
7830,7830
7359,11150
7359,6109
3772,3450
3772,9350
3772,2434
7675,4720
5957,8581
3277,3960
5206,5206
6216,473
11124,8878
7006,3392
7006,2846
7006,3707
7006,3707
7006,2606
7006,5126
7006,9586
7006,3159
7006,325
7006,7006
7006,3197
7006,6441
7006,4167
7006,9635
7006,236
7006,4892
2273,7166
2273,6817
2273,11247
5143,958
4840,4840
3772,11069
