SourceUserID,ReplyUserID,ReplyCount,SourceStance,ReplyStance,AgreeScore
120,2631,2,U,U,2
120,4321,2,U,U,2
120,5444,1,U,U,1
120,9003,1,U,U,1
153,153,3,R,R,3
153,1714,2,R,U,-2
153,2100,8,R,U,-8
153,7705,2,R,U,-2
179,2778,1,U,U,1
179,5444,1,U,U,1
179,6328,1,U,U,1
179,11658,5,U,U,5
184,184,1,U,U,1
184,2100,6,U,U,6
184,7705,1,U,U,1
205,11906,1,U,U,1
205,12152,1,U,U,1
209,209,1,R,R,1
353,353,3,U,U,3
440,6689,1,R,U,-1
445,5158,1,R,N,0
445,8878,4,R,U,-4
445,12227,1,R,U,-1
513,575,2,U,U,2
513,961,1,U,U,1
513,2273,2,U,U,2
513,2425,2,U,U,2
513,2631,2,U,U,2
513,2659,1,U,U,1
513,2816,2,U,U,2
513,2949,1,U,U,1
513,2971,1,U,U,1
513,3129,1,U,U,1
513,3299,1,U,U,1
513,3772,1,U,U,1
513,3773,2,U,U,2
513,4077,1,U,U,1
513,4083,3,U,U,3
513,4122,1,U,U,1
513,4938,1,U,U,1
513,6427,2,U,U,2
513,6962,1,U,U,1
513,7012,3,U,U,3
513,7269,1,U,U,1
513,8736,1,U,U,1
513,9021,1,U,U,1
513,10238,1,U,U,1
513,10626,2,U,U,2
513,10997,2,U,U,2
513,12185,1,U,U,1
532,5885,1,U,R,-1
532,10357,1,U,R,-1
544,544,8,R,R,8
544,10574,2,R,R,2
548,11658,3,U,U,3
560,560,6,U,U,6
560,2644,1,U,U,1
560,8630,1,U,U,1
560,10548,3,U,U,3
560,10584,1,U,U,1
575,575,3,U,U,3
575,6217,5,U,U,5
619,1167,1,R,U,-1
751,964,3,N,U,0
751,8078,1,N,U,0
751,12180,2,N,U,0
852,2804,1,U,R,-1
852,3666,1,U,R,-1
905,905,1,U,U,1
905,4314,2,U,U,2
936,6038,1,U,R,-1
936,7266,1,U,U,1
961,6217,1,U,U,1
964,5716,16,U,N,0
964,10724,2,U,U,2
964,12227,2,U,U,2
1032,1032,28,R,R,28
1099,1099,1,R,R,1
1167,5086,1,U,U,1
1167,5980,1,U,U,1
1167,6535,1,U,R,-1
1167,10445,1,U,U,1
1260,2971,1,U,U,1
1260,10777,1,U,U,1
1260,11658,18,U,U,18
1280,2659,1,U,U,1
1331,11658,3,U,U,3
1356,2273,1,U,U,1
1356,2631,4,U,U,4
1356,9693,1,U,U,1
1356,11658,1,U,U,1
1356,11893,2,U,U,2
1381,1381,4,U,U,4
1399,1399,4,U,U,4
1399,7705,1,U,U,1
1399,10143,1,U,U,1
1403,1403,2,R,R,2
1403,5631,1,R,U,-1
1407,1407,2,U,U,2
1420,2425,1,U,U,1
1420,12226,1,U,U,1
1694,1694,11,R,R,11
1714,2971,3,U,U,3
1714,3772,1,U,U,1
1714,7269,1,U,U,1
1714,9112,1,U,U,1
1714,10445,1,U,U,1
1715,1955,1,U,U,1
1715,2266,1,U,U,1
1715,2273,1,U,U,1
1715,2659,1,U,U,1
1715,2801,1,U,U,1
1715,5086,1,U,U,1
1715,10364,1,U,U,1
1715,12045,2,U,U,2
1822,1822,4,U,U,4
1822,4802,1,U,U,1
1829,8078,1,U,U,1
1830,1830,4,U,U,4
1831,2100,2,U,U,2
1831,3984,2,U,U,2
1831,4077,1,U,U,1
1831,5800,1,U,U,1
1831,6217,2,U,U,2
1857,11658,2,U,U,2
1915,1915,3,R,R,3
2100,2266,6,U,U,6
2100,2425,1,U,U,1
2100,2659,2,U,U,2
2100,3042,1,U,U,1
2100,3299,1,U,U,1
2100,3772,1,U,U,1
2100,3952,1,U,U,1
2100,4431,1,U,U,1
2100,4802,1,U,U,1
2100,4899,9,U,U,9
2100,4938,1,U,U,1
2100,5086,1,U,U,1
2100,5414,1,U,U,1
2100,5716,11,U,N,0
